,0,id,resolution,length,mol
67,2py5_A_B,2py5_A_B,1.6,564,dna polymerase
68,1jb7_A_A,1jb7_A_A,1.86,460,telomere-binding protein alpha subunit
69,5itu_A_B,5itu_A_B,2.41,268,endonuclease 8-like 1
70,3mfi_A_A,3mfi_A_A,1.76,511,dna polymerase eta
71,5ciy_A_A,5ciy_A_A,1.594,327,modification methylase hhai
72,2xo6_A_A,2xo6_A_A,1.9,134,transposase
73,1v15_A_A,1v15_A_A,2.4,106,colicin e9
74,1je8_A_A,1je8_A_A,2.12,66,nitrate/nitrite response regulator protein narl
75,4u0y_A_B,4u0y_A_B,1.91,75,hth-type transcriptional repressor yvoa
76,4oin_D_B,4oin_D_B,2.8,1485,dna-directed rna polymerase subunit beta'
77,4oin_C_A,4oin_C_A,2.8,1112,dna-directed rna polymerase subunit beta
78,3kqn_A_A,3kqn_A_A,2.05,437,serine protease/ntpase/helicase ns3
79,1rzr_A_A,1rzr_A_A,2.8,332,glucose-resistance amylase regulator
80,1jb7_B_A,1jb7_B_A,1.86,216,telomere-binding protein beta subunit
81,5d8k_B_A,5d8k_B_A,1.728,106,heat shock factor protein 2
82,3iag_C_B,3iag_C_B,2.0,422,recombining binding protein suppressor ofhairless 
83,4esv_A_B,4esv_A_B,3.2,418,replicative helicase
84,1flo_A_A,1flo_A_A,2.65,405,flp recombinase
85,3glg_B_A,3glg_B_A,3.25,364,dna polymerase iii subunit tau
86,4izz_A_B,4izz_A_B,2.502,294,transcription factor hetr
87,3v1z_A_A,3v1z_A_A,2.2,290,endonuclease bse634ir
88,2gxa_A_A,2gxa_A_A,3.15,270,replication protein e1
89,5bpd_A_A,5bpd_A_A,2.4,263,trmbl2
90,4pog_A_A,4pog_A_A,3.203,255,cell division control protein 21
91,4ndh_A_B,4ndh_A_B,1.848,180,aprataxin
92,4ofa_A_A,4ofa_A_A,1.55,142,methyl-cpg-binding domain protein 4
93,2itl_A_A,2itl_A_A,1.65,120,large t antigen
94,5dlj_E_A,5dlj_E_A,2.6,78,crispr-associated endoribonuclease cas2
95,3bs1_A_A,3bs1_A_A,1.6,103,accessory gene regulator protein a
96,2bnw_A_A,2bnw_A_A,2.45,49,orf omega
97,1mnn_A_A,1mnn_A_A,1.4,290,ndt80 protein
98,1r8e_A_A,1r8e_A_A,2.4,275,multidrug-efflux transporter regulator
99,4lz1_H_A,4lz1_H_A,1.65,249,thrombin heavy chain
100,5a3d_A_A,5a3d_A_A,1.8,114,dna repair protein rad14
101,2wt7_B_B,2wt7_B_B,2.3,90,transcription factor mafb
102,4xrm_A_A,4xrm_A_A,1.6,59,homeobox protein meis2
103,2o5c_A_A,2o5c_A_A,2.35,634,dna topoisomerase 3
104,4ric_A_A,4ric_A_A,2.8,615,fanconi-associated nuclease 1
105,4e68_A_A,4e68_A_A,2.585,559,signal transducer and activator of transcription 3
106,4jrp_A_A,4jrp_A_A,1.95,460,exodeoxyribonuclease i
107,5hru_A_A,5hru_A_A,1.71,305,l-lactate dehydrogenase
108,4rtk_A_A,4rtk_A_A,1.96,245,dna adenine methylase
109,5gke_A_A,5gke_A_A,2.4,239,endonuclease endoms
110,3sm4_A_A,3sm4_A_A,1.88,225,exonuclease
111,4l18_A_A,4l18_A_A,2.3,142,runt-related transcription factor 1
112,4ou6_A_A,4ou6_A_A,1.96,76,primosomal protein 1
113,5i44_A_A,5i44_A_A,2.621,67,chromosome-anchoring protein raca
114,3g0q_A_A,3g0q_A_A,2.2,344,a/g-specific adenine glycosylase
115,4u7b_A_A,4u7b_A_A,3.09,342,mariner mos1 transposase
116,2ram_A_A,2ram_A_A,2.4,273,protein (transcription factor nf-kb p65)
117,3tq6_A_A,3tq6_A_A,2.45,194,"transcription factor a, mitochondrial"
118,3ikt_A_B,3ikt_A_B,2.26,204,redox-sensing transcriptional repressor rex
119,4hik_A_B,4hik_A_B,1.636,138,protection of telomeres protein 1
120,1f4k_A_A,1f4k_A_A,2.5,115,replication termination protein
121,1y8z_A_A,1y8z_A_A,1.9,389,dna alpha-glucosyltransferase
122,3mva_O_A,3mva_O_A,2.2,324,"transcription termination factor, mitochondrial"
123,1m5r_A_A,1m5r_A_A,1.8,351,dna beta-glucosyltransferase
124,3u61_B_A,3u61_B_A,3.2,305,dna polymerase accessory protein 44
125,2gb7_A_A,2gb7_A_A,1.7,293,r.ecl18ki
126,2r9l_A_A,2r9l_A_A,2.4,287,putative dna ligase-like protein
127,5ed4_A_A,5ed4_A_A,2.4,222,response regulator
128,2odi_A_A,2odi_A_A,1.45,238,r.bcni
129,3c0w_A_A,3c0w_A_A,2.2,223,intron-encoded endonuclease i-scei
130,4pso_A_A,4pso_A_A,2.9,218,ssdna binding protein
131,2r0q_C_A,2r0q_C_A,3.2,193,putative transposon tn552 dna-invertase bin3
132,1qzg_A_A,1qzg_A_A,1.9,170,protection of telomeres protein 1
133,4mtd_A_A,4mtd_A_A,2.5,149,zinc uptake regulation protein
134,3pvi_A_A,3pvi_A_A,1.59,156,protein (pvuii endonuclease)
135,2isz_A_A,2isz_A_A,2.403,140,iron-dependent repressor ider
136,4noe_A_A,4noe_A_A,2.2,139,single-stranded dna-binding protein ddrb
137,4on0_A_A,4on0_A_A,3.0,97,nolr
138,4jcy_A_A,4jcy_A_A,1.8,92,csp231i c protein
139,4iht_A_A,4iht_A_A,3.0,89,hth-type transcriptional regulator benm
140,2bsq_E_A,2bsq_E_A,3.0,68,trafficking protein a
141,2r1j_L_A,2r1j_L_A,1.53,66,repressor protein c2
142,1jko_C_A,1jko_C_A,2.24,46,dna-invertase hin
143,3wpc_A_A,3wpc_A_A,1.6,747,toll-like receptor 9
144,4o3m_A_A,4o3m_A_A,2.3,613,bloom syndrome protein
145,1omh_A_A,1omh_A_A,1.95,282,trwc protein
146,2i06_A_A,2i06_A_A,2.2,305,dna replication terminus site-binding protein
147,4b21_A_A,4b21_A_A,1.45,207,probable dna-3-methyladenine glycosylase 2
148,5byg_A_A,5byg_A_A,2.5,181,protein rep78
149,1ais_B_A,1ais_B_A,2.1,193,protein (transcription initiation factor iib)
150,2x6v_A_A,2x6v_A_A,2.2,177,t-box transcription factor tbx5
151,4aik_A_A,4aik_A_A,1.85,139,transcriptional regulator slya
152,4xzf_A_B,4xzf_A_B,1.38,121,helicase-like transcription factor
153,4hc9_A_A,4hc9_A_A,1.6,105,trans-acting t-cell-specific transcription factor gata-3
154,3gx4_X_A,3gx4_X_A,2.7,108,alkyltransferase-like protein 1
155,2dwm_A_A,2dwm_A_A,3.15,105,primosomal protein n
156,3kxt_A_A,3kxt_A_A,1.602,56,chromatin protein cren7
157,1rh6_A_A,1rh6_A_A,1.7,55,excisionase
158,3cmw_A_A,3cmw_A_A,2.8,1609,protein reca
159,4dqy_C_A,4dqy_C_A,3.25,456,poly [adp-ribose] polymerase 1
160,3ei2_B_B,3ei2_B_B,2.6,355,dna damage-binding protein 2
161,3u7f_B_B,3u7f_B_B,1.8,378,bifunctional polynucleotide phosphatase/kinase
162,4w9m_C_A,4w9m_C_A,2.7,352,"probable dna double-strand break repair rad50 atpase,probable dna double-strand break repair rad50 atpase "
163,1oe4_A_B,1oe4_A_B,2.0,245,single-strand selective monofunctional uracil dnaglycosylase 
164,5lej_A_A,5lej_A_A,2.7,236,listeriolysin regulatory protein
165,5chi_A_A,5chi_A_A,2.472,230,uncharacterized protein
166,2w36_A_A,2w36_A_A,2.1,223,endonuclease v
167,1oup_A_A,1oup_A_A,2.3,213,nuclease
168,4lvi_A_A,4lvi_A_A,1.9,190,plasmid recombination enzyme
169,3ssc_A_A,3ssc_A_A,2.1,154,5-methylcytosine-specific restriction enzyme b
170,1z9c_A_A,1z9c_A_A,2.64,137,organic hydroperoxide resistance transcriptionalregulator 
171,4rb3_C_A,4rb3_C_A,2.6,136,dna-binding transcriptional dual regulator of siderophorebiosynthesis and transport(fur family) 
172,4ix7_A_A,4ix7_A_A,1.581,114,re55538p
173,4y0f_A_A,4y0f_A_A,2.648,78,tar dna-binding protein 43
174,2ve9_A_A,2ve9_A_A,1.9,62,dna translocase ftsk
175,3eyi_A_A,3eyi_A_A,1.45,64,z-dna-binding protein 1
176,3sjm_A_A,3sjm_A_A,1.35,55,telomeric repeat-binding factor 2
177,4rkh_C_A,4rkh_C_A,2.0,47,e3 ubiquitin-protein ligase msl-2
178,3u4q_A_A,3u4q_A_A,2.8,1122,atp-dependent helicase/nuclease subunit a
179,3u4q_B_A,3u4q_B_A,2.8,1132,atp-dependent helicase/deoxyribonuclease subunit b
180,1pv4_A_A,1pv4_A_A,3.0,408,transcription termination factor rho
181,2vla_A_B,2vla_A_B,1.3,280,restriction endonuclease r.bpuji
182,5j37_A_A,5j37_A_A,2.3,206,beak and feather disease virus capsid protein
183,4yig_A_A,4yig_A_A,2.7,220,uracil-dna glycosylase
184,1esg_A_A,1esg_A_A,1.9,209,type ii restriction enzyme bamhi
185,3n1i_A_A,3n1i_A_A,2.2,161,protein stwhy2
186,4mdf_A_B,4mdf_A_B,1.727,171,metallophosphoesterase
187,1k78_A_B,1k78_A_B,2.25,124,paired box protein pax5
188,1pp7_U_A,1pp7_U_A,2.45,114,39 kda initiator binding protein
189,1j3e_A_A,1j3e_A_A,2.5,115,seqa protein
190,1f0v_A_B,1f0v_A_B,1.7,124,ribonuclease a
191,3pvv_A_A,3pvv_A_A,2.0,96,chromosomal replication initiator protein dnaa
192,4y60_C_A,4y60_C_A,1.75,76,transcription factor sox-18
193,3vxv_A_A,3vxv_A_A,2.0,65,methyl-cpg-binding domain protein 4
194,4xqk_A_A,4xqk_A_A,2.7,1517,llabiii
195,4da4_A_A,4da4_A_A,2.6,834,dna (cytosine-5)-methyltransferase 1
196,3v4r_A_A,3v4r_A_A,3.25,586,uvrabc system protein b
197,4d1q_A_A,4d1q_A_A,3.4,502,transposase
198,1mus_A_A,1mus_A_A,1.9,458,tn5 transposase
199,3dnv_A_A,3dnv_A_A,2.68,414,protein hipa
200,5fhd_A_B,5fhd_A_B,2.0,414,uncharacterized protein
201,4n0o_A_A,4n0o_A_A,2.65,395,replicase polyprotein 1ab
202,5f7q_C_B,5f7q_C_B,2.4,385,lmo0178 protein
203,3glg_A_A,3glg_A_A,3.25,333,dna polymerase iii subunit delta
204,3glg_E_A,3glg_E_A,3.25,334,dna polymerase iii subunit delta'
205,4kis_A_A,4kis_A_A,3.2,315,putative integrase [bacteriophage a118]
206,5cg9_A_A,5cg9_A_A,2.693,267,tet-like dioxygenase
207,4par_A_A,4par_A_A,2.89,314,uncharacterized protein abasi
208,2a3v_A_A,2a3v_A_A,2.8,313,site-specific recombinase inti4
209,2nq9_A_A,2nq9_A_A,1.45,279,endonuclease 4
210,1z19_A_A,1z19_A_A,2.8,273,integrase
211,5dwa_A_B,5dwa_A_B,1.5,278,type-2 restriction enzyme agei
212,3zql_A_A,3zql_A_A,2.99,236,putative repressor simreg2
213,4opx_A_A,4opx_A_A,3.314,222,poly [adp-ribose] polymerase 1
214,1sa3_A_A,1sa3_A_A,1.95,262,type ii restriction enzyme mspi
215,3zdb_A_B,3zdb_A_B,1.47,246,protein xni
216,4uqm_A_B,4uqm_A_B,1.35,229,uracil-dna glycosylase
217,3ugo_A_B,3ugo_A_B,2.096,180,rna polymerase sigma factor
218,3mxm_A_A,3mxm_A_A,1.75,226,three prime repair exonuclease 1
219,1h0m_A_A,1h0m_A_A,3.0,230,transcriptional activator protein trar
220,5dy0_A_A,5dy0_A_A,3.0,220,tetr family transcriptional regulator
221,3mln_A_A,3mln_A_A,2.4,206,transcription factor coe1
222,4oi8_A_A,4oi8_A_A,3.101,211,advanced glycosylation end product-specific receptor
223,1ic8_A_A,1ic8_A_A,2.6,170,hepatocyte nuclear factor 1-alpha
224,5iff_A_A,5iff_A_A,1.9,216,uncharacterized protein
225,4pxi_A_A,4pxi_A_A,3.2,194,cprb
226,3u58_A_A,3u58_A_A,2.613,213,tetrahymena teb1 ab
227,3knt_A_A,3knt_A_A,2.7,207,n-glycosylase/dna lyase
228,2p0j_A_A,2p0j_A_A,2.1,203,bstyi
229,3jso_A_B,3jso_A_B,2.29,188,lexa repressor
230,3gox_A_A,3gox_A_A,1.5,189,restriction endonuclease hpy99i
231,5fdk_A_A,5fdk_A_A,3.208,177,holliday junction resolvase recu
232,1jt0_A_A,1jt0_A_A,2.9,188,hypothetical transcriptional regulator in qaca5'region 
233,2vy1_A_A,2vy1_A_A,2.104,163,protein leafy
234,4a12_A_A,4a12_A_A,3.15,183,transcription factor fapr
235,3oqg_A_A,3oqg_A_A,1.75,176,hpy188i
236,1r71_A_A,1r71_A_A,2.2,114,transcriptional repressor protein korb
237,4rd5_A_A,4rd5_A_A,2.7,160,restriction endonuclease r.ngovii
238,2yvh_A_A,2yvh_A_A,2.5,171,transcriptional regulator
239,3zpl_A_A,3zpl_A_A,2.8,159,putative marr-family transcriptional repressor
240,5bmz_A_A,5bmz_A_A,3.001,139,hcar protein
241,4lmg_A_A,4lmg_A_A,2.2,120,iron-regulated transcriptional activator aft2
242,3vea_A_A,3vea_A_A,2.55,149,macrodomain ter protein
243,2bsq_A_A,2bsq_A_A,3.0,143,trafficking protein b
244,2wiw_B_A,2wiw_B_A,1.8,126,hjc
245,4gnx_B_A,4gnx_B_A,2.8,122,putative uncharacterized protein
246,2vw9_A_A,2vw9_A_A,2.3,108,single-stranded dna binding protein
247,3zqc_A_A,3zqc_A_A,2.9,118,myb3
248,3on0_A_A,3on0_A_A,2.874,121,protein tram
249,3ulp_A_A,3ulp_A_A,2.1,114,single-strand binding protein
250,1lq1_A_A,1lq1_A_A,2.3,107,stage 0 sporulation protein a
251,1oj8_A_A,1oj8_A_A,1.7,104,rc-rnase6 ribonuclease
252,2w7n_A_A,2w7n_A_A,1.85,94,trfb transcriptional repressor protein
253,2ayg_A_A,2ayg_A_A,3.1,87,regulatory protein e2
254,3zvk_E_A,3zvk_E_A,2.5,57,antitoxin of toxin-antitoxin system vapb
255,4zm0_A_A,4zm0_A_A,3.17,55,antitoxin phd
256,3qoq_A_A,3qoq_A_A,3.1,50,alginate and motility regulator z
257,2c5r_B_A,2c5r_B_A,2.9,63,early protein p16.7
258,2c62_A_A,2c62_A_A,1.74,66,activated rna polymerase ii transcriptionalcoactivator p15 
259,4ztu_A_A,4ztu_A_A,3.299,983,dna polymerase subunit gamma-1
260,5ean_A_A,5ean_A_A,2.36,1051,dna replication atp-dependent helicase/nuclease dna2
261,3f2b_A_A,3f2b_A_A,2.39,994,dna-directed dna polymerase iii alpha chain
262,3gp8_A_A,3gp8_A_A,2.5,551,"exodeoxyribonuclease v, subunit recd, putative"
263,3upu_A_A,3upu_A_A,3.299,439,atp-dependent dna helicase dda
264,2aq4_A_A,2aq4_A_A,2.32,428,dna repair protein rev1
265,2v1u_A_A,2v1u_A_A,3.1,382,cell division control protein 6 homolog
266,4roc_A_A,4roc_A_A,1.9,302,transcription factor iiib 50 kda subunit
267,3dsd_A_A,3dsd_A_A,2.2,333,dna double-strand break repair protein mre11
268,2h7g_X_A,2h7g_X_A,1.9,312,dna topoisomerase 1
269,1rrc_A_A,1rrc_A_A,2.46,288,polynucleotide kinase
270,4qtj_A_A,4qtj_A_A,2.1,154,white-opaque regulator 1
271,5hp4_A_B,5hp4_A_B,1.86,272,exodeoxyribonuclease
272,4h5q_A_A,4h5q_A_A,2.7,242,nucleocapsid protein
273,1orn_A_A,1orn_A_A,1.7,214,endonuclease iii
274,2aor_A_A,2aor_A_A,2.0,220,dna mismatch repair protein muth
275,2dp6_A_A,2dp6_A_A,1.8,219,uracil-dna glycosylase
276,3uby_A_A,3uby_A_A,2.0,204,dna-3-methyladenine glycosylase
277,5k83_A_A,5k83_A_A,2.39,191,"apolipoprotein b mrna editing enzyme, catalytic peptide-like 3g,apolipoprotein b mrna editing enzyme, catalytic peptide-like 3g "
278,1zx4_A_A,1zx4_A_A,2.98,180,plasmid partition par b protein
279,4ni7_A_A,4ni7_A_A,2.4,151,interleukin-6
280,2fcc_A_B,2fcc_A_B,2.3,137,endonuclease v
281,4wls_A_A,4wls_A_A,2.105,111,hth-type transcriptional regulator cuer
282,5kbj_A_A,5kbj_A_A,3.09,130,"replication initiator a, n-terminal"
283,5d23_A_A,5d23_A_A,1.95,64,fibroin-modulator-binding protein-1
284,2hax_A_B,2hax_A_B,1.29,66,cold shock protein cspb
285,4m9v_C_A,4m9v_C_A,0.969,59,zinc finger protein 57
286,2z3x_A_A,2z3x_A_A,2.1,56,"small, acid-soluble spore protein c"
287,4m8o_A_A,4m8o_A_A,2.2,1126,dna polymerase epsilon catalytic subunit a
288,1w36_B_A,1w36_B_A,3.1,1158,exodeoxyribonuclease v beta chain
289,1w36_C_A,1w36_C_A,3.1,1121,exodeoxyribonuclease v gamma chain
290,5hr4_C_A,5hr4_C_A,2.5964,749,mmei
291,2pi4_A_A,2pi4_A_A,2.5,862,dna-directed rna polymerase
292,5f56_A_A,5f56_A_A,2.3,703,single-stranded-dna-specific exonuclease
293,4glx_A_A,4glx_A_A,1.9,573,dna ligase
294,4a15_A_A,4a15_A_A,2.2,596,atp-dependent dna helicase ta0057
295,1mw8_X_B,1mw8_X_B,1.9,561,dna topoisomerase i
296,4dpv_Z_A,4dpv_Z_A,2.9,559,protein (parvovirus coat protein)
297,2v6e_A_A,2v6e_A_A,3.2,531,protelemorase
298,2qsh_A_A,2qsh_A_A,2.805,502,dna repair protein rad4
299,3ra4_A_A,3ra4_A_A,2.7,519,capsid protein
300,2xrz_A_A,2xrz_A_A,2.2,450,deoxyribodipyrimidine photolyase
301,5deu_A_A,5deu_A_A,1.801,413,"methylcytosine dioxygenase tet2, chimeric construct"
302,4r28_C_A,4r28_C_A,3.055,449,restriction endonuclease
303,2w42_A_A,2w42_A_A,1.9,395,putative uncharacterized protein
304,3mvd_K_A,3mvd_K_A,2.9,391,regulator of chromosome condensation
305,4p0p_B_A,4p0p_B_A,2.8,278,crossover junction endonuclease eme1
306,3c25_A_A,3c25_A_A,2.5,354,noti restriction endonuclease
307,3bep_A_A,3bep_A_A,1.92,366,dna polymerase iii subunit beta
308,4ldx_A_A,4ldx_A_A,2.9,332,auxin response factor 1
309,5eyb_A_B,5eyb_A_B,2.7,340,dna-binding protein reb1
310,3vh0_A_A,3vh0_A_A,2.9,322,uncharacterized protein ynce
311,5l2x_A_A,5l2x_A_A,2.2,271,dna-directed primase/polymerase protein
312,1dc1_A_B,1dc1_A_B,1.7,310,bsobi restriction endonuclease
313,3b39_A_A,3b39_A_A,2.35,317,dna primase
314,4f43_A_A,4f43_A_A,2.354,320,protelomerase
315,1iaw_A_A,1iaw_A_A,2.4,304,type ii restriction enzyme naei
316,5jub_A_A,5jub_A_A,2.57,298,transcriptional regulator
317,4p0p_A_A,4p0p_A_A,2.8,283,crossover junction endonuclease mus81
318,1xjv_A_A,1xjv_A_A,1.73,291,protection of telomeres 1
319,1ckq_A_A,1ckq_A_A,1.85,261,protein (endonuclease)
320,1wte_A_A,1wte_A_A,1.9,272,ecoo109ir
321,3bm3_A_B,3bm3_A_B,1.7,259,pspgi restriction endonuclease
322,2ezv_A_A,2ezv_A_A,2.4,267,type ii restriction enzyme sfii
323,4r8p_L_A,4r8p_L_A,3.2846,254,"e3 ubiquitin-protein ligase ring2, ubiquitin-conjugatingenzyme e2 d3 "
324,2z9o_A_A,2z9o_A_A,3.14,222,replication initiation protein
325,2oaa_A_A,2oaa_A_A,1.5,247,r.mvai
326,4i2o_A_A,4i2o_A_A,1.77,198,fixk2 protein
327,3gz6_A_B,3gz6_A_B,2.901,219,mutt/nudix family protein
328,4umk_A_A,4umk_A_A,3.096,172,probable chromosome-partitioning protein parb
329,4tzd_A_A,4tzd_A_A,3.2,232,concanavalin-a
330,4dav_A_A,4dav_A_A,2.2,231,sugar fermentation stimulation protein homolog
331,5trd_A_A,5trd_A_A,1.85,219,riboflavin kinase
332,3tu4_K_A,3tu4_K_A,3.0,214,regulatory protein sir3
333,3ndh_A_A,3ndh_A_A,1.3,214,restriction endonuclease thai
334,5j3e_A_A,5j3e_A_A,2.6,172,thymocyte nuclear protein 1
335,4ljr_A_A,4ljr_A_A,1.8,213,dna processing chain a
336,3lsr_A_A,3lsr_A_A,2.55,192,dest
337,5jre_D_A,5jre_D_A,2.1,185,neq131
338,4oww_B_A,4oww_B_A,2.3,107,soss complex subunit b1
339,3hxo_A_A,3hxo_A_A,2.4,199,von willebrand factor
340,2ex5_A_A,2ex5_A_A,2.2,207,dna endonuclease i-ceui
341,5fmp_A_A,5fmp_A_A,2.26,184,hth-type transcriptional repressor kstr
342,4i6z_A_A,4i6z_A_A,3.2,200,"transcriptional regulator, tetr family"
343,3fdq_A_A,3fdq_A_A,1.75,140,motility gene repressor mogr
344,3zi5_A_A,3zi5_A_A,3.2,166,restriction endonuclease
345,2o6m_A_A,2o6m_A_A,2.3,162,intron-encoded endonuclease i-ppoi
346,4chu_A_A,4chu_A_A,2.489,126,hth-type transcriptional regulator iscr
347,4dqy_B_A,4dqy_B_A,3.25,136,poly [adp-ribose] polymerase 1
348,1cw0_A_A,1cw0_A_A,2.3,155,protein (dna mismatch endonuclease)
349,3h0d_A_A,3h0d_A_A,2.4,155,ctsr
350,2ost_A_A,2ost_A_A,3.1,148,putative endonuclease
351,2pfj_A_A,2pfj_A_A,3.1,129,endodeoxyribonuclease 1
352,4fx4_A_A,4fx4_A_A,3.1001,128,probable transcriptional repressor protein
353,1b3t_A_A,1b3t_A_A,2.2,147,protein (nuclear protein ebna1)
354,3m7k_A_C,3m7k_A_C,1.92,142,restriction endonuclease paci
355,4uzb_A_A,4uzb_A_A,2.865,137,orf 73
356,4ux5_A_A,4ux5_A_A,2.4,113,transcription factor mbp1
357,3aaf_A_A,3aaf_A_A,1.9,109,werner syndrome atp-dependent helicase
358,3o9x_A_A,3o9x_A_A,2.0999,132,uncharacterized hth-type transcriptional regulator ygit
359,4f6m_A_A,4f6m_A_A,2.4,116,transcriptional regulator kaiso
360,3a5u_A_A,3a5u_A_A,2.8,118,single-stranded dna-binding protein
361,3vw4_A_A,3vw4_A_A,2.7,122,rep
362,2ccz_A_A,2ccz_A_A,2.7,121,primosomal replication protein n
363,2h8c_B_A,2h8c_B_A,3.1,116,crossover junction endodeoxyribonuclease rusa
364,4zbn_A_A,4zbn_A_A,2.447,97,beta-nerve growth factor
365,4nhj_A_A,4nhj_A_A,2.701,102,dna-binding transcriptional regulator rsta
366,5i50_A_B,5i50_A_B,2.701,92,myc proto-oncogene protein
367,1i3j_A_A,1i3j_A_A,2.2,96,intron-associated endonuclease 1
368,4hqe_A_A,4hqe_A_A,2.299,105,transcriptional regulator qsrr
369,3oa6_A_A,3oa6_A_A,2.35,84,male-specific lethal 3 homolog
